id,registry_id,registry_system,registry_status,cde_id,title,phase_code,status_code,population,target,therapy_types,locations_count,locations_count_china,locations_count_overseas,eligibility_age_min,eligibility_age_max,eligibility_ecog_max,eligibility_prior_lines_min,eligibility_prior_lines_max,eligibility_review_status,cross_registry_ids,source_document_type,source_pdf_url,url,updated_at
GqhMYMi2BfZ0y66CdMoJ,,,unregistered,,CR-2011在复发/难治性多发性骨髓瘤的安全性和耐受性、初步有效性的临床研究,phase_2,recruiting,复发难治,靶向BCMA的体内CAR-T细胞疗法（基于mRNA-LNP技术）,CAR-T,1,1,0,18,,1,,,reviewed,,hospital_protocol,https://chinamyeloma.org/registry/doc/GqhMYMi2BfZ0y66CdMoJ.pdf,https://chinamyeloma.org/zh/clinical-trials/GqhMYMi2BfZ0y66CdMoJ,2026-09-03T19:55:22.916Z
e3jf0yOqo4B63EYvces1,CTR20200081,CDE_CTR,cde_registered,CTR20200081,一项在 t(11;14)阳性复发性或难治性多发性骨髓瘤受试者中比较 venetoclax 加地塞米松与泊马度胺加地塞米松的 3 期、多中心、随机、开放性研究,phase_3,recruiting,复发难治,口服小分子靶向药物(BCL-2 抑制剂),small_molecule,19,19,0,18,,2,2,,reviewed,CLINICALTRIALS_GOV:NCT03844048 (https://clinicaltrials.gov/study/NCT03844048),cde_registration,https://chinamyeloma.org/registry/cde/CTR20200081.pdf,https://chinamyeloma.org/zh/clinical-trials/e3jf0yOqo4B63EYvces1,2026-09-07T15:41:09.761Z
8QUxUFIp6PeS3zkjLRNX,CTR20202322,CDE_CTR,cde_registered,CTR20202322,评估 CX13-608 用于复发或难治性多发性骨髓瘤受试者的开放标签的单臂 II 期临床研究,phase_2,recruiting,复发难治,BCMA × CD3 双特异性抗体,bispecific_antibody,10,10,0,18,75,2,2,,reviewed,,cde_registration,https://chinamyeloma.org/registry/cde/CTR20202322.pdf,https://chinamyeloma.org/zh/clinical-trials/8QUxUFIp6PeS3zkjLRNX,2026-09-07T15:41:14.206Z
duqe6ArTLsTEfur3tUHd,CTR20210564,CDE_CTR,cde_registered,CTR20210564,嵌合抗原受体 T 淋巴细胞（C-4-29）细胞制剂治疗复发/难治性多发性骨髓瘤的 I 期临床研究,phase_1,terminated,复发难治,自体抗 BCMA CAR-T,CAR-T,3,3,0,18,,2,3,,reviewed,,cde_registration,https://chinamyeloma.org/registry/cde/CTR20210564.pdf,https://chinamyeloma.org/zh/clinical-trials/duqe6ArTLsTEfur3tUHd,2026-09-07T15:41:19.104Z
IZK1cU4OKF56oThiHPFu,CTR20221007,CDE_CTR,cde_registered,CTR20221007,HRS-3738 在复发难治的非霍奇金淋巴瘤和多发性骨髓瘤患者中的 I 期临床试验,phase_1,recruiting,复发难治,小分子口服靶向药物/新一代 EED（胚胎外胚层发育蛋白）抑制剂,small_molecule,37,37,0,18,,1,1,3,reviewed,CLINICALTRIALS_GOV:NCT05363800 (https://clinicaltrials.gov/study/NCT05363800),cde_registration,https://chinamyeloma.org/registry/cde/CTR20221007.pdf,https://chinamyeloma.org/zh/clinical-trials/IZK1cU4OKF56oThiHPFu,2026-09-07T15:41:22.104Z
rwVElafqk8RwBlLWV55I,CTR20221467,CDE_CTR,cde_registered,CTR20221467,CBM.BCMA 嵌合抗原受体 T 细胞注射液（C-CAR088）治疗复发或难治性多发性骨髓瘤患者的 Ib/II 期临床研究,phase_2,recruiting,复发难治,自体抗BCMA CAR-T,CAR-T,1,1,0,18,,1,3,,reviewed,CLINICALTRIALS_GOV:NCT05521802 (https://clinicaltrials.gov/study/NCT05521802),cde_registration,https://chinamyeloma.org/registry/cde/CTR20221467.pdf,https://chinamyeloma.org/zh/clinical-trials/rwVElafqk8RwBlLWV55I,2026-09-07T15:41:24.776Z
vsPVNmY0ym7MP1W0cEdb,CTR20221556,CDE_CTR,cde_registered,CTR20221556,一项评价 belantamab mafodotin 联合泊马度胺与地塞米松方案 （B-Pd）相比泊马度胺加硼替佐米与地塞米松方案（PVd）治疗在复发性/难治性多发性骨髓瘤受试者的有效性和安全性的 III 期、多中心、开放性、随机研究 （DREAMM 8）,phase_3,recruiting,多发性骨髓瘤,针对 BCMA 靶点的 抗体偶联药物（ADC）,antibody_drug_conjugate,11,11,0,18,,2,1,,reviewed,,cde_registration,https://chinamyeloma.org/registry/cde/CTR20221556.pdf,https://chinamyeloma.org/zh/clinical-trials/vsPVNmY0ym7MP1W0cEdb,2026-09-07T15:41:27.448Z
vFs88zqRIWannad8CWWo,CTR20222476,CDE_CTR,cde_registered,CTR20222476,一项在复发性或难治性多发性骨髓瘤患者中评价抗 CD38 抗体偶联药物（STI-6129）的安全性和有效性的 Ib/IIa 期、开放性、剂量递增和扩展研究,phase_2,recruiting,复发难治,抗体偶联药物（ADC）,antibody_drug_conjugate,4,4,0,18,,2,,,reviewed,CLINICALTRIALS_GOV:NCT05565807 (https://clinicaltrials.gov/study/NCT05565807),cde_registration,https://chinamyeloma.org/registry/cde/CTR20222476.pdf,https://chinamyeloma.org/zh/clinical-trials/vFs88zqRIWannad8CWWo,2026-09-07T15:41:30.613Z
6NB1nSfRxbUnVirRUNLF,CTR20223160,CDE_CTR,cde_registered,CTR20223160,一项评价 ICP-490 单药及联合地塞米松治疗复发和/或难治性多发性骨髓瘤患者中的安全性、耐受性和有效性的多中心、非随机、开放性 I/IIa 期临床研究,phase_2,recruiting,复发难治,口服小分子的“分子胶”降解剂,small_molecule,6,6,0,18,,2,,,reviewed,CLINICALTRIALS_GOV:NCT05719701 (https://clinicaltrials.gov/study/NCT05719701),cde_registration,https://chinamyeloma.org/registry/cde/CTR20223160.pdf,https://chinamyeloma.org/zh/clinical-trials/6NB1nSfRxbUnVirRUNLF,2026-09-07T15:41:33.480Z
0Qmmm9lm1p7BA56I6z2o,CTR20223310,CDE_CTR,cde_registered,CTR20223310,评估注射用 TQB2934 在多发性骨髓瘤受试者中耐受性和药代动力学的 I 期临床试验,phase_1,recruiting,复发难治,重组人源化抗 CD38 单克隆抗体,monoclonal_antibody,14,14,0,18,75,2,1,,reviewed,CLINICALTRIALS_GOV:NCT07179679 (https://clinicaltrials.gov/study/NCT07179679),cde_registration,https://chinamyeloma.org/registry/cde/CTR20223310.pdf,https://chinamyeloma.org/zh/clinical-trials/0Qmmm9lm1p7BA56I6z2o,2026-09-07T15:41:36.954Z
